SLUS_807.15|Akuji the Heartless (Trade Demo)||
SLPM_860.23|Akumajou Dracula X: Gekka no Yasoukyoku||悪魔城ドラキュラＸ　～月下の夜想曲～
SLPM_860.73|Akumajou Dracula X: Gekka no Yasoukyoku||悪魔城ドラキュラＸ　～月下の夜想曲～
SLPM_873.28|Akumajou Dracula X: Gekka no Yasoukyoku||悪魔城ドラキュラＸ　～月下の夜想曲～
SLPS_015.78|Albaria no Otome: Uruwashi no Seikishitachi||アルバレアの乙女　～麗しの聖騎士たち～
SLES_031.50|Alex Ferguson's Player Manager 2001||
SLES_037.75|Alex Ferguson's Player Manager 2002||
SLES_032.90|Alexandra Ledermann 2: Équitation Compétition||
SLUS_008.72|Alexi Lalas International Soccer||
SCES_038.17|Alfred Chicken||
SLPS_006.36|Alice in Cyberland||ありす イン サイバーランド
SLES_029.13|Alien Resurrection||
SLUS_006.33|Alien Resurrection||
SLES_001.01|Alien Trilogy||
SLES_002.46|Alien Trilogy||
SLPS_003.32|Alien Trilogy||エイリアン・トリロジー
SLUS_000.07|Alien Trilogy||
SLES_002.88|Alien Trilogy (Demo)||
SLPS_015.27|Alive (Disc 1)||アライブ（ディスク１）
SLPS_015.28|Alive (Disc 2)||アライブ（ディスク２）
SLPS_015.29|Alive (Disc 3)||アライブ（ディスク３）
SLES_041.62|All Music Dance!||
SLES_041.07|All Star Action (Disc 1)||
SLES_141.07|All Star Action (Disc 2)||
SLES_039.58|All Star Boxing||
SLES_037.40|All Star Racing||
SLUS_014.60|All Star Racing||
SLES_039.33|All Star Racing 2||
SLUS_015.10|All Star Racing 2||
SLES_007.47|All Star Soccer||
SLES_039.63|All Star Tennis||
SLES_014.33|All Star Tennis '99||
SLPS_019.62|All Star Tennis '99||オールスターテニス´９９
SLED_015.60|All Star Tennis '99 (Demo)||
SLES_027.64|All Star Tennis 2000||
SLES_027.65|All Star Tennis 2000||
SLES_040.60|All Star Watersports||
SLUS_003.92|All-Star Baseball 97 featuring Frank Thomas||
SLPS_009.93|All-Star Mahjong: Karei naru Shoubushi kara no Chousen||オールスター麻雀　～華麗なる勝負師からの挑戦～
SLUS_014.31|All-Star Slammin' D-Ball||
SLES_029.84|Alla Ricerca della Valle Incantata: Ritorno alla Grande Vallata||
SLES_004.17|Allied General||
SLPS_008.43|Allied General||アライド　ジェネラル
SLUS_003.03|Allied General||
SLPS_001.73|Alnam no Kiba: Juuzoku Juuni Shinto Densetsu||アルナムの牙　～獣族十二神徒伝説～
